City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
salalah,17.02,54.09,78.06,70,21,2.46,OM,1603930578
mehamn,71.04,27.85,38.53,87,100,7.18,NO,1603930623
sao jose da coroa grande,-8.9,-35.15,76.46,79,100,10.65,BR,1603930975
santa catalina,9.33,122.86,82.83,73,30,5.14,PH,1603930976
aksu,41.12,80.26,45.93,49,100,3.58,CN,1603930978
mahajanga,-15.72,46.32,78.8,78,40,4.7,MG,1603930979
honiara,-9.43,159.95,85.01,74,99,8.01,SB,1603930980
vila velha,-20.33,-40.29,82.99,87,65,15.99,BR,1603930559
noumea,-22.28,166.46,78.84,60,2,10.6,NC,1603930755
makakilo city,21.35,-158.09,84,62,8,11.99,US,1603930983
port lincoln,-34.73,135.87,61.32,69,66,21.21,AU,1603930581
chunskiy,56.08,99.63,29.17,95,83,4.63,RU,1603930985
aguimes,27.91,-15.45,70,64,71,12.86,ES,1603930987
alihe,50.57,123.72,25.95,86,0,2.55,CN,1603930592
bilma,18.69,12.92,70.36,20,0,3.98,NE,1603930815
tete,-16.16,33.59,82.4,54,20,10.29,MZ,1603930990
palmares do sul,-30.26,-50.51,66.49,86,5,4.34,BR,1603930991
barranca,-10.75,-77.77,61.74,86,40,8.08,PE,1603930866
nimes,43.83,4.35,51.01,93,64,7.61,FR,1603930897
makasar,-5.14,119.42,84.13,62,43,3.83,ID,1603930831
tromso,69.65,18.96,33.01,86,15,1.01,NO,1603930773
coahuayana,18.73,-103.68,81.32,82,38,3.98,MX,1603930820
goure,13.98,10.27,80.01,21,0,5.99,NE,1603930997
kaitangata,-46.28,169.85,51.01,87,100,12.1,NZ,1603930568
sistranda,63.73,8.83,44.01,76,53,5.99,NO,1603931000
lengerich,52.18,7.87,48.99,94,100,1.01,DE,1603931001
itapipoca,-3.49,-39.58,75.67,81,37,5.41,BR,1603931002
kirensk,57.79,108.11,24.01,96,100,0.87,RU,1603931003
agogo,6.8,-1.08,70.32,99,19,3.8,GH,1603931004
dingle,11,122.67,81.28,83,57,4.03,PH,1603930571
weligama,5.97,80.42,76.64,89,57,5.88,LK,1603931006
batagay,67.63,134.63,2.07,93,100,1.74,RU,1603931007
kavali,14.92,79.98,78.44,74,100,6.93,IN,1603931009
tateyama,34.98,139.87,68,30,7,5.99,JP,1603931010
gat,31.61,34.76,75,100,98,1.01,IL,1603930777
olenegorsk,68.15,33.3,37.96,93,100,9.98,RU,1603931012
karasjok,69.47,25.51,29.8,97,96,5.08,NO,1603931013
tumannyy,,,,,,,,
redmond,47.67,-122.12,55.99,88,11,2.86,US,1603930970
chama,47.18,8.46,51.01,87,100,5.08,CH,1603931016
diego de almagro,-26.37,-70.05,54.41,42,0,2.06,CL,1603930888
nicoya,10.15,-85.45,77.74,89,100,1.99,CR,1603931018
marcona,,,,,,,,
latung,5.5,120.88,82.67,77,67,7.18,PH,1603931021
cabedelo,-6.98,-34.83,78.21,78,93,12.64,BR,1603930809
padang,-0.95,100.35,79.14,66,100,2.86,ID,1603930522
shingu,33.73,135.98,65.3,62,2,2.89,JP,1603930577
slantsy,59.12,28.09,45.43,94,35,7.56,RU,1603931025
serabu,7.8,-12.05,74.59,96,96,1.86,SL,1603931026
ljubinje,42.95,18.09,50,93,0,2.24,BA,1603931027
aklavik,68.22,-135.01,17.53,88,68,6.15,CA,1603930542
kanigoro,-8.13,112.22,79.59,77,26,1.9,ID,1603931029
kiunga,-6.12,141.29,87.71,59,62,1.05,PG,1603930864
puri,19.8,85.85,74.19,59,2,10.29,IN,1603930773
comodoro rivadavia,-45.87,-67.5,57.81,35,0,8.43,AR,1603930289
verkhnevilyuysk,63.45,120.32,-2.02,91,12,2.48,RU,1603931034
myitkyina,25.38,97.4,70.52,82,3,2.24,MM,1603930556
sal rei,16.18,-22.92,80.33,79,99,16.4,CV,1603931036
rio gallegos,-51.62,-69.22,48.56,60,45,34.49,AR,1603930626
oranjemund,-28.55,16.43,59.74,74,100,3.76,NA,1603931038
unai,-16.36,-46.91,73.54,72,100,2.51,BR,1603931039
sakakah,29.97,40.21,61.02,30,0,2.37,SA,1603930582
manta,-0.95,-80.73,72.45,82,97,12.53,EC,1603930805
ukiah,39.15,-123.21,82,19,0,5.57,US,1603931042
fomboni,-12.28,43.74,79.54,73,2,6.96,KM,1603931043
chipinge,-20.19,32.62,59.38,56,0,5.82,ZW,1603931044
tripoli,32.88,13.19,69.17,58,5,11.48,LY,1603931046
san quintin,30.48,-115.95,69.71,39,0,10.38,MX,1603930605
grimari,,,,,,,,
sibolga,1.74,98.78,77.79,75,100,3.09,ID,1603931049
chernyshevskiy,63.01,112.47,4.24,94,79,10.18,RU,1603930820
bonthe,7.53,-12.51,79.21,86,58,6.78,SL,1603930538
amapa,1,-52,76.71,84,100,3.62,BR,1603930751
rio grande,-32.03,-52.1,66.99,94,97,4.59,BR,1603930503
westport,41.14,-73.36,53.01,98,96,7.7,US,1603930804
antalaha,-14.9,50.28,72.46,86,63,8.05,MG,1603931055
camacha,33.08,-16.33,55.99,95,45,8.03,PT,1603930596
teseney,15.11,36.66,78.82,45,0,8.08,ER,1603931058
dujuma,,,,,,,,
okhotsk,59.38,143.3,28.45,89,99,9.19,RU,1603930605
vargashi,55.36,65.85,30.13,94,92,11.97,RU,1603931061
malanje,-9.54,16.34,65.79,98,100,5.06,AO,1603931062
krasnousolskiy,,,,,,,,
sao gotardo,-19.31,-46.05,70.56,80,34,5.35,BR,1603931064
puerto escondido,15.85,-97.07,81.54,77,37,3.09,MX,1603931065
tucurui,-3.77,-49.67,79.38,79,56,2.77,BR,1603931066
namatanai,-3.67,152.43,85.3,67,100,2.86,PG,1603930616
alto araguaia,-17.31,-53.22,71.67,89,100,7.05,BR,1603931068
campbellton,48.01,-66.67,29.34,92,91,2.08,CA,1603931070
abaza,52.66,90.09,28.42,95,58,4.36,RU,1603931071
nome,64.5,-165.41,30.99,77,6,5.01,US,1603930830
maneadero,31.72,-116.57,68,75,0,1.01,MX,1603930943
tura,25.52,90.22,69.49,89,3,3.78,IN,1603930770
karoi,-16.81,29.69,68.36,50,7,8.93,ZW,1603931075
seydi,39.48,62.91,34.16,81,0,11.92,TM,1603931076
alofi,-19.06,-169.92,73.74,79,19,23.85,NU,1603930601
xiaoshi,41.3,124.12,42.66,55,0,0.45,CN,1603931078
maiduguri,11.85,13.16,77.9,25,13,7.47,NG,1603931079
mocuba,-16.84,36.99,68.29,93,0,1.77,MZ,1603931080
springfield,37.22,-93.3,48.99,97,100,1.01,US,1603931053
lannion,48.75,-3.42,53.01,89,100,7,FR,1603931083
tungkang,,,,,,,,
port said,31.26,32.28,76.32,66,73,12.06,EG,1603931085
santa eulalia del rio,,,,,,,,
havre-saint-pierre,50.23,-63.6,30.58,91,99,11.05,CA,1603930600
prieska,-29.66,22.75,73.26,20,94,6.02,ZA,1603930850
namibe,-15.2,12.15,68.79,83,86,5.32,AO,1603930799
kieta,-6.22,155.63,84.96,69,100,2.53,PG,1603931090
marshall,34.38,-86.33,75,58,100,1.99,US,1603930803
muisne,0.6,-80.03,75.31,83,60,9.91,EC,1603931092
matsanga,,,,,,,,
basco,20.45,121.97,81.12,82,100,23.98,PH,1603931095
sayyan,15.17,44.32,45.99,49,0,4.43,YE,1603931096
ust-omchug,61.15,149.63,18.95,85,22,2.39,RU,1603931097
mitu,1.2,-70.17,78.19,81,89,2.01,CO,1603930801
dondo,-19.61,34.74,68,96,0,1.74,MZ,1603931099
butte,39.65,-121.57,73.99,21,0,5.01,US,1603931100
miles city,46.41,-105.84,37.85,87,59,3.04,US,1603931101
nisia floresta,-6.09,-35.21,75.49,79,21,6.71,BR,1603931103
tasiilaq,65.61,-37.64,33.8,37,100,19.46,GL,1603930547
plettenberg bay,-34.05,23.37,60.58,89,100,2.95,ZA,1603931105
kutum,14.2,24.67,73.27,24,3,9.35,SD,1603930515
vao,-22.67,167.48,72.7,74,0,16.08,NC,1603930589
ayagoz,47.97,80.44,30.18,98,100,10.87,KZ,1603931108
aleksandrov gay,50.15,48.57,35.91,77,43,8.77,RU,1603931109
cape elizabeth,,,,,,,,
annau,37.89,58.52,43.9,54,0,8.7,TM,1603931111
sovetskiy,61.36,63.58,34.32,92,100,9.95,RU,1603931113
kahului,20.89,-156.47,82,71,16,3,US,1603930619
kerteh,,,,,,,,
paita,-5.09,-81.11,65.3,82,84,14.03,PE,1603931116
bathsheba,13.22,-59.52,81.5,81,100,22.15,BB,1603930626
la gaulette,,,,,,,,
yima,34.74,111.88,49.71,78,0,1.25,CN,1603931119
fukue,32.69,128.84,68.67,57,60,9.55,JP,1603930798
biak,-0.91,122.88,81.97,67,80,4.03,ID,1603931121
cao bang,22.67,106.25,66.87,88,100,4.5,VN,1603931122
zhangzhou,24.51,117.66,70.77,72,100,0.29,CN,1603931124
hami,42.8,93.45,43.09,54,76,6.96,CN,1603930792
zhezkazgan,47.8,67.71,27.9,92,66,5.79,KZ,1603930565
bokspits,,,,,,,,
catamarca,-28.47,-65.79,63,58,28,5.3,AR,1603930583
bria,6.54,21.99,69.93,91,99,1.45,CF,1603931129
igrim,63.19,64.42,31.73,98,100,11.48,RU,1603931130
bowen,-20.02,148.23,85.14,52,0,3.36,AU,1603931131
boden,65.83,21.69,37.89,97,100,1.68,SE,1603931132
agadir,30.42,-9.6,71.8,45,85,5.5,MA,1603931133
opuwo,-18.06,13.84,59.92,40,0,3.04,NA,1603931134
cabo rojo,18.09,-67.15,79,97,11,1.01,PR,1603931136
tabulbah,,,,,,,,
arman,59.7,150.17,31.64,83,89,4.16,RU,1603931138
viedma,-40.81,-63,46.99,60,55,1.99,AR,1603931139
ponta delgada,37.73,-25.67,66,76,11,10.78,PT,1603930557
lianzhou,24.78,112.38,62.8,87,100,3.78,CN,1603931141
hualmay,-11.1,-77.61,63.55,81,19,9.42,PE,1603931142
totskoye,52.52,52.76,32.31,90,71,4.63,RU,1603931143
dubbo,-32.25,148.62,66.63,62,12,5.77,AU,1603931144
nkhotakota,-12.93,34.3,79.09,61,79,10.8,MW,1603931145
caronport,50.45,-105.82,33.01,83,95,1.99,CA,1603931146
pabrade,55,25.78,52,100,75,8.05,LT,1603931148
